Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-03-21,59.46,67.99,58.86,64.2,55346,127024,45019,4847647,52664988286301,6683,117756088,0.0585,0.032,6.606,2345,49.529,8193,9.332,69727,19.382,0.924,10930400.0,395885.964153684,72.23
2013-03-22,65.13,76.91,64.61,72.23,60355,130647,50706,4847647,54708778202413,6961,85100400,0.0738,0.0329,6.288,1643,52.98,8193,10.429,74972,19.361,1.174,10940875.0,334656.0,69.9
2013-03-23,70.87,74.47,65.0,69.9,52697,125187,42959,4847647,52380527520168,6653,76818014,0.0635,0.0318,6.636,1723,41.647,8193,11.527,66987,19.344,0.964,10941700.0,382956.3,63.9
2013-03-24,68.81,72.0,50.09,63.9,51146,129939,49371,5581052,60263612691159,5122,56080244,0.0514,0.0324,7.619,1250,39.966,8193,8.783,69027,19.382,0.856,10949700.0,327529.720108965,70.22
2013-03-25,64.37,71.0,63.36,70.22,48849,168571,45267,6695826,52104594454467,4836,95421661,0.0628,0.0346,10,2175,48.08,8193,8.783,66175,19.445,1.221,10953600.0,307554.0,75.11
2013-03-26,70.22,80.0,69.25,75.11,48910,161379,48642,6695826,50235262378413,5453,111737889,0.0665,0.0359,9.536,2697,68.034,8193,9.332,73013,19.592,1.19,10952900.0,285191.2,79.81
2013-03-27,74.3,86.0,74.3,79.81,53076,190689,50705,6695826,45698598164232,5783,198986778,0.0896,0.0396,10.992,4073,62.769,8193,10.978,72757,19.67,1.804,10961225.0,278619.258007097,89.3
2013-03-28,79.81,89.99,78.75,89.3,60806,175259,56271,6695826,53480865196802,7434,141711056,0.0863,0.0429,7.869,2562,59.916,8193,14.272,94463,19.709,1.323,10965775.0,411945.3,88.52
2013-03-29,89.4,97.0,80.0,88.52,62085,177820,57457,6695826,59070718423001,6466,115186870,0.0847,0.0433,8.276,2025,64.661,8193,16.468,83274,19.861,1.38,10964075.0,381744.95805,90.0
2013-03-30,88.96,94.0,84.0,90.0,59023,187744,51724,6695826,58108142252251,6606,151427698,0.0949,0.0437,8.324,2687,46.52,8193,14.272,78048,19.957,1.464,10973850.0,404294.008430645,92.11
2013-03-31,90.49,95.0,89.31,92.11,43817,147829,39483,6695826,54553475541522,6971,131125946,0.0932,0.0445,8.521,3111,51.07,8193,12.625,64261,19.846,1.078,10979300.0,564112.58503,96.15
2013-04-01,92.12,96.15,92.12,96.15,52572,139256,48809,6695826,65502112131790,7220,127826531,0.0777,0.0474,7.273,2592,64.987,8193,15.248,75756,19.962,0.867,10975275.0,481891.36,104.7
